combination_id,k,thrshld,p1,p2,beta,seeds,primary_delta_star,num_intersections,status,delta_star_count,delta_star_values,dominant_below,dominant_above,always_dominant,intersection_1,intersection_2,intersection_3,intersection_4,intersection_5
1889,12,4,0.1,0.3,1,4,,0,not_found,0,None,,,Random,,,,,
1883,12,3,0.9,0.9,5,3,,0,not_found,0,None,,,Random,,,,,
1884,12,3,0.9,0.9,7,3,,0,not_found,0,None,,,Random,,,,,
1887,12,3,0.9,1,5,3,,0,not_found,0,None,,,Random,,,,,
1893,12,4,0.1,4,1,4,0.724729835,2,multiple,2,"[0.7247, 0.9971]",,,,0.724729835,0.997130253,,,
1890,12,4,0.1,0.3,3,4,,0,not_found,0,None,,,Random,,,,,
1888,12,3,0.9,1,7,3,,0,not_found,0,None,,,Random,,,,,
1894,12,4,0.1,4,3,4,0.119070073,1,found,1,0.1191,Clustered,Random,,0.119070073,,,,
1897,12,4,0.1,0.5,1,4,,0,not_found,0,None,,,Random,,,,,
1891,12,4,0.1,0.3,5,4,,0,not_found,0,None,,,Random,,,,,
1892,12,4,0.1,0.3,7,4,,0,not_found,0,None,,,Random,,,,,
1895,12,4,0.1,4,5,4,0.128139822,1,found,1,0.1281,Clustered,Random,,0.128139822,,,,
1901,12,4,0.1,0.6,1,4,0.111512159,2,multiple,2,"[0.1115, 0.7105]",,,,0.111512159,0.710482977,,,
1898,12,4,0.1,0.5,3,4,,0,not_found,0,None,,,Random,,,,,
1896,12,4,0.1,4,7,4,0.153059912,1,found,1,0.1531,Clustered,Random,,0.153059912,,,,
1899,12,4,0.1,0.5,5,4,,0,not_found,0,None,,,Random,,,,,
1902,12,4,0.1,0.6,3,4,,0,not_found,0,None,,,Random,,,,,
1905,12,4,0.1,0.7,1,4,0.728871158,2,multiple,2,"[0.7289, 0.9958]",,,,0.728871158,0.995762124,,,
1900,12,4,0.1,0.5,7,4,,0,not_found,0,None,,,Random,,,,,
1906,12,4,0.1,0.7,3,4,,0,not_found,0,None,,,Random,,,,,
1903,12,4,0.1,0.6,5,4,,0,not_found,0,None,,,Random,,,,,
1909,12,4,0.1,0.8,1,4,0.129117939,3,multiple,3,"[0.1291, 0.6402, 0.9975]",,,,0.129117939,0.640186601,0.997477457,,
1904,12,4,0.1,0.6,7,4,0.01266666,1,found,1,0.0127,Clustered,Random,,0.01266666,,,,
1907,12,4,0.1,0.7,5,4,,0,not_found,0,None,,,Random,,,,,
1910,12,4,0.1,0.8,3,4,,0,not_found,0,None,,,Random,,,,,
1913,12,4,0.1,0.9,1,4,0.767122195,2,multiple,2,"[0.7671, 0.9962]",,,,0.767122195,0.996180875,,,
1908,12,4,0.1,0.7,7,4,,0,not_found,0,None,,,Random,,,,,
1911,12,4,0.1,0.8,5,4,0.108880629,1,found,1,0.1089,Clustered,Random,,0.108880629,,,,
1914,12,4,0.1,0.9,3,4,0.114836377,1,found,1,0.1148,Clustered,Random,,0.114836377,,,,
1917,12,4,0.1,1,1,4,0.74312291,2,multiple,2,"[0.7431, 0.9966]",,,,0.74312291,0.996630438,,,
1912,12,4,0.1,0.8,7,4,,0,not_found,0,None,,,Random,,,,,
1921,12,4,0.2,0.3,1,4,,0,not_found,0,None,,,Random,,,,,
1915,12,4,0.1,0.9,5,4,0.078013015,1,found,1,0.078,Clustered,Random,,0.078013015,,,,
1918,12,4,0.1,1,3,4,0.16569664,1,found,1,0.1657,Clustered,Random,,0.16569664,,,,
1916,12,4,0.1,0.9,7,4,0.099383537,1,found,1,0.0994,Clustered,Random,,0.099383537,,,,
1919,12,4,0.1,1,5,4,0.166071474,1,found,1,0.1661,Clustered,Random,,0.166071474,,,,
1922,12,4,0.2,0.3,3,4,,0,not_found,0,None,,,Random,,,,,
1925,12,4,0.2,4,1,4,,0,not_found,0,None,,,Random,,,,,
1920,12,4,0.1,1,7,4,0.157102797,1,found,1,0.1571,Clustered,Random,,0.157102797,,,,
1926,12,4,0.2,4,3,4,,0,not_found,0,None,,,Random,,,,,
1923,12,4,0.2,0.3,5,4,,0,not_found,0,None,,,Random,,,,,
1929,12,4,0.2,0.5,1,4,,0,not_found,0,None,,,Random,,,,,
1924,12,4,0.2,0.3,7,4,,0,not_found,0,None,,,Random,,,,,
1927,12,4,0.2,4,5,4,,0,not_found,0,None,,,Random,,,,,
1930,12,4,0.2,0.5,3,4,,0,not_found,0,None,,,Random,,,,,
1933,12,4,0.2,0.6,1,4,,0,not_found,0,None,,,Random,,,,,
1928,12,4,0.2,4,7,4,,0,not_found,0,None,,,Random,,,,,
1934,12,4,0.2,0.6,3,4,,0,not_found,0,None,,,Random,,,,,
1931,12,4,0.2,0.5,5,4,,0,not_found,0,None,,,Random,,,,,
1937,12,4,0.2,0.7,1,4,,0,not_found,0,None,,,Random,,,,,
1932,12,4,0.2,0.5,7,4,,0,not_found,0,None,,,Random,,,,,
1935,12,4,0.2,0.6,5,4,,0,not_found,0,None,,,Random,,,,,
1938,12,4,0.2,0.7,3,4,,0,not_found,0,None,,,Random,,,,,
1941,12,4,0.2,0.8,1,4,,0,not_found,0,None,,,Random,,,,,
1936,12,4,0.2,0.6,7,4,,0,not_found,0,None,,,Random,,,,,
1939,12,4,0.2,0.7,5,4,,0,not_found,0,None,,,Random,,,,,
1942,12,4,0.2,0.8,3,4,,0,not_found,0,None,,,Random,,,,,
1945,12,4,0.2,0.9,1,4,,0,not_found,0,None,,,Random,,,,,
1940,12,4,0.2,0.7,7,4,,0,not_found,0,None,,,Random,,,,,
1943,12,4,0.2,0.8,5,4,,0,not_found,0,None,,,Random,,,,,
1946,12,4,0.2,0.9,3,4,,0,not_found,0,None,,,Random,,,,,
1949,12,4,0.2,1,1,4,,0,not_found,0,None,,,Random,,,,,
